employee_name,email,department,position,salary,country
Valerie Reed,dchambers@example.com,Sales,Manager,3463.93,USA
Kenneth Palmer,charles09@example.com,IT,Analyst,7369.08,Ukraine
Julia Pittman,joseph26@example.net,Marketing,Manager,5229.26,USA
Kelly Rogers,uwilson@example.net,HR,Specialist,1794.35,Canada
Michael Sanchez,austingould@example.com,IT,Specialist,4528.79,Canada
Adam Howell,sstevens@example.org,HR,Analyst,3817.62,Poland
Mark Ross,uowen@example.net,HR,Analyst,2712.91,Poland
Mercedes Welch,vnelson@example.net,IT,Specialist,3514.85,Poland
Joseph Green,rthompson@example.org,HR,Manager,3615.83,USA
Maria Coleman,elizabeth95@example.com,Sales,Developer,1376.41,Germany
Andrew Norris,alyssaellis@example.net,Sales,Analyst,1330.81,Ukraine
Regina Juarez,chaneysuzanne@example.com,IT,Analyst,1489.0,Poland
Clinton Barnes,uramirez@example.com,IT,Specialist,4098.46,Poland
Mr. George Ortiz,lawrencedean@example.net,Sales,Specialist,7890.15,Canada
Ryan White,thomasjacobson@example.com,Finance,Specialist,8987.98,Ukraine
Gregory Clark,seanroman@example.org,IT,Developer,5966.72,Poland
Alyssa Garcia,fmorgan@example.net,Sales,Analyst,7524.3,USA
Michael Vasquez,edwardsshannon@example.net,HR,Coordinator,7558.91,Canada
Megan Davis,williammorris@example.net,IT,Analyst,6048.66,USA
Elizabeth Newman,davischristopher@example.com,HR,Manager,1826.87,Poland
Michael Nelson,yhenry@example.net,Sales,Developer,6784.98,USA
Robert Walters,toddmclaughlin@example.org,Finance,Specialist,7894.54,USA
Mathew Pratt,adamsryan@example.org,Marketing,Coordinator,2779.64,Poland
Linda Aguirre,sandovalbryce@example.net,IT,Analyst,8548.51,Ukraine
Marissa Garcia,iherrera@example.org,Sales,Developer,2751.01,USA
Curtis Schwartz,bennettjennifer@example.org,IT,Developer,1886.98,USA
David Martinez,elizabeth59@example.com,HR,Coordinator,2241.93,USA
James Miller,lindseymcbride@example.net,Finance,Manager,1412.32,Ukraine
Anna Leonard,james26@example.org,Finance,Coordinator,8635.36,Poland
Holly Schmitt,jason45@example.org,HR,Analyst,2100.4,Ukraine
Erika Estrada,bryan99@example.net,Sales,Developer,3215.42,Germany
Joe Wang,clarkcarla@example.net,Marketing,Developer,4447.98,Ukraine
Daisy Kramer,williamschristina@example.org,IT,Analyst,5389.24,Germany
Philip Clements,stevenskinner@example.net,IT,Analyst,5470.69,Ukraine
Shannon Whitaker,petersonelizabeth@example.net,HR,Analyst,8566.43,Poland
Brittany Berry,lindseystephanie@example.com,Marketing,Specialist,1194.78,Canada
Amber Johnson,lanecristian@example.net,Finance,Developer,4972.11,Canada
James Campbell,qchambers@example.com,Sales,Specialist,3184.5,Canada
Cynthia Bennett,walterboyd@example.com,IT,Developer,6261.21,USA
Jonathan Mcgee,reynoldsdeanna@example.com,Marketing,Coordinator,8980.31,Germany
Veronica Joseph,brooke65@example.net,IT,Developer,1052.71,USA
Matthew Davis,merrittpaul@example.com,Sales,Specialist,7579.25,USA
John Rivera,adrianahenson@example.org,Sales,Specialist,7508.58,Ukraine
Mary Lawson,ccasey@example.net,Sales,Specialist,5433.69,Ukraine
Deborah Miles,brownandrew@example.org,Sales,Analyst,5742.69,Poland
Margaret Butler,annrussell@example.org,HR,Coordinator,5201.11,Poland
Sherry Chung,heather81@example.com,Finance,Developer,5076.1,Ukraine
Christine Hicks,evansyvette@example.com,Finance,Manager,2581.94,Canada
Stacey Harris,ramseychristopher@example.net,HR,Coordinator,2728.9,Ukraine
Kyle May,philliprobinson@example.com,IT,Specialist,9776.83,Ukraine
Michele Snyder,crystal35@example.org,HR,Manager,7229.76,Poland
Nathaniel Nunez,sara86@example.org,Finance,Specialist,4157.59,USA
Paul Lutz,leahwilson@example.net,Sales,Developer,9942.93,USA
James Ward,rbond@example.org,Marketing,Manager,8129.84,Germany
Duane Norris,ydalton@example.org,HR,Analyst,3950.56,Germany
Jeffery Francis Jr.,martinezrobert@example.net,IT,Analyst,7343.11,USA
Derek Johnson,woodardbilly@example.net,Finance,Manager,2296.42,Canada
Joseph Duffy,wmills@example.com,HR,Manager,8642.14,Ukraine
Jill Smith,darlenesanders@example.net,IT,Manager,6468.05,Ukraine
Patricia Adams,ithompson@example.net,Marketing,Specialist,9255.22,USA
William Barker,jessethompson@example.org,Finance,Manager,5932.75,Ukraine
Amanda Collins,seanpeterson@example.com,Finance,Analyst,7686.3,Canada
Heather Mitchell,wgrimes@example.org,HR,Developer,7596.08,Poland
Brandon Aguilar,wdowns@example.net,HR,Analyst,9444.96,USA
Jeremy Villanueva,philip92@example.net,Sales,Manager,3821.65,Canada
Shannon Anderson,darinlopez@example.org,Finance,Manager,8527.16,Canada
Anna Glenn,james12@example.net,HR,Specialist,2120.0,Germany
Nancy Clarke,brittany00@example.net,HR,Coordinator,9434.06,Poland
John Reese,kchurch@example.org,IT,Specialist,5890.01,USA
Joshua Lewis,daryl08@example.net,Finance,Coordinator,5090.14,Ukraine
Jay Lopez,eric94@example.net,IT,Manager,5411.18,Canada
John Wells,jay06@example.org,Marketing,Manager,1706.27,Ukraine
Kimberly Gordon,kevin08@example.org,IT,Specialist,7606.28,Canada
James Jordan,dmartin@example.org,Sales,Manager,3981.7,Ukraine
Sabrina Miller,edwardscrystal@example.com,Marketing,Manager,9162.25,Canada
Robert Turner,lowejoe@example.net,IT,Developer,1689.01,Ukraine
Carla Kennedy,kballard@example.net,HR,Manager,4775.56,Poland
Kristina Thomas,erinsanders@example.net,Sales,Coordinator,8860.27,Ukraine
Donna Allen,langkendra@example.org,Sales,Specialist,8003.13,Ukraine
James House,mary99@example.org,Marketing,Developer,9769.22,Poland
Kenneth Ruiz,joy22@example.net,IT,Developer,3945.99,Ukraine
Aaron Tucker,kelsey21@example.com,IT,Specialist,4440.82,USA
James Walker,erangel@example.com,IT,Coordinator,7351.5,Poland
Brian Reid,munozshannon@example.org,Finance,Developer,3025.24,Canada
Joshua Young,veronica87@example.net,Marketing,Developer,6709.8,Ukraine
Christina Williams,normanerin@example.com,IT,Manager,9915.84,USA
Jennifer Smith,millertyler@example.com,Sales,Coordinator,2273.54,USA
Jeanne Foster,raymond04@example.org,Sales,Developer,5329.11,Poland
Jeffrey Carter,martinjesus@example.org,Sales,Manager,7229.61,Ukraine
Mark Clark,zzavala@example.com,HR,Specialist,4786.96,Poland
John Hernandez,bobbyking@example.com,HR,Analyst,5577.05,USA
Tracy Walker,timothylong@example.org,Sales,Specialist,5051.77,Ukraine
Joshua Shannon,colleenpierce@example.net,Sales,Developer,7017.37,Ukraine
Gregory Stevenson,vegathomas@example.com,Sales,Developer,6278.95,USA
Anne Williams,bwagner@example.com,IT,Manager,5895.76,Canada
Jennifer Silva,perezamanda@example.net,Marketing,Analyst,4701.06,Poland
Brad Manning,hherring@example.com,Marketing,Manager,7689.06,Germany
Rachel Schmidt,kdalton@example.com,Sales,Analyst,8673.99,Ukraine
Vincent Decker,gwoods@example.net,HR,Specialist,3587.0,Ukraine
Diane Jones,zlopez@example.com,Sales,Analyst,6253.49,Canada
