employee_name,email,department,position,salary,country
James Bennett,evanstimothy@example.net,IT,Analyst,5003.36,Canada
Mario Johnson,jennifer98@example.net,IT,Developer,2866.62,Germany
Jeffery Cooper,heathbrianna@example.org,Sales,Developer,4110.89,Poland
Gabriella Marshall,xbarnes@example.org,Sales,Manager,8816.09,Poland
Jordan Banks,nthompson@example.net,Finance,Specialist,8895.57,USA
Dustin Williams,cynthia00@example.org,Finance,Manager,4092.62,Poland
Ronald Weiss,rgordon@example.com,IT,Coordinator,8617.99,USA
Sharon Johnson,anthony05@example.org,Marketing,Manager,4625.86,Germany
Shawn Clark,sballard@example.com,HR,Manager,5970.67,Ukraine
Maria Bartlett,patricia74@example.com,Marketing,Analyst,9125.71,USA
Mark Lucero,owilson@example.net,Marketing,Coordinator,1385.25,Ukraine
Stephanie Martinez,lucassarah@example.org,Marketing,Analyst,7042.29,Canada
Stephen Coleman,amyproctor@example.com,Marketing,Developer,5769.82,Germany
Jerry Evans,henryleach@example.net,Marketing,Analyst,9087.81,Canada
Cassandra Miranda,ryangibson@example.net,Finance,Coordinator,2065.64,Germany
Michele Cooper,stephenphelps@example.net,HR,Coordinator,6773.14,Germany
Darrell Manning,xnorton@example.net,Finance,Developer,5232.03,USA
Jean Austin,nicholas24@example.net,Marketing,Coordinator,4914.63,Ukraine
Stacy Mendoza,dsingleton@example.org,IT,Manager,2056.34,Canada
Sherri Jones,derekdunlap@example.net,Marketing,Coordinator,5567.12,Ukraine
John Thomas,ohart@example.com,Finance,Developer,2719.41,Germany
Lori Howell,ernestcarroll@example.net,Finance,Coordinator,9623.69,USA
Douglas Green,smithjoe@example.org,Sales,Developer,4544.92,Poland
Judith Deleon,martinezjonathan@example.org,Finance,Specialist,2759.86,Poland
Michael Wright,cameronholmes@example.com,Marketing,Manager,4134.45,Canada
Sarah Chapman,apatterson@example.com,Marketing,Analyst,1672.19,Germany
Judith Thornton,aaronhayden@example.net,Sales,Coordinator,5838.62,Poland
Ethan Villarreal,michael65@example.org,Sales,Specialist,9079.02,USA
Wendy Perez,monicakelly@example.net,HR,Analyst,3524.65,Ukraine
James Carter,michael06@example.net,HR,Coordinator,8949.43,Germany
Lisa Norton,christopher07@example.com,IT,Specialist,1076.71,Ukraine
Stephanie Owen,fgreen@example.com,Sales,Manager,8859.31,Ukraine
Steven Maxwell,kathleen52@example.com,Finance,Manager,2530.07,Poland
Edwin Cook,jenniferhudson@example.net,Marketing,Analyst,8564.58,Canada
Philip Jones,nanderson@example.net,HR,Specialist,6973.71,Ukraine
Lindsey Johnson,benjaminsmith@example.com,Finance,Coordinator,6890.44,Germany
Patricia Cruz,figueroajoseph@example.com,HR,Developer,5488.09,Germany
Rebekah Arnold,hweber@example.net,Finance,Developer,9102.1,USA
Christopher Bradley,ericabradshaw@example.net,IT,Manager,6896.59,USA
Mariah Cruz MD,houstonjessica@example.net,Finance,Manager,2607.38,Poland
Shelley Pearson,odavies@example.com,HR,Developer,6281.49,Poland
Kristen Martinez,travis57@example.net,IT,Manager,8322.68,Canada
Steven Carroll,conniemurillo@example.net,IT,Coordinator,5850.78,Germany
Benjamin Allen,ylawrence@example.net,Sales,Specialist,6077.6,USA
Daniel Shah,jennifer98@example.com,HR,Manager,5676.62,Canada
Daniel Sherman,bcurtis@example.net,Finance,Coordinator,4868.92,Ukraine
Jennifer Best,mcollins@example.org,Finance,Specialist,5539.91,Poland
Donald Francis,foleybrian@example.com,Finance,Developer,8724.8,Poland
April Garrett,colleen14@example.com,IT,Manager,6172.07,USA
Alexis Huynh,cgarza@example.net,IT,Developer,4728.34,Germany
Nicole Smith,keithhaley@example.net,Marketing,Manager,5836.16,Ukraine
Sheila Graham,brenda50@example.com,Finance,Manager,4661.35,Ukraine
Dustin Mcmillan,hmartin@example.com,IT,Analyst,6565.23,Poland
John Johnson,jlong@example.org,IT,Specialist,6242.54,Poland
Mary Cook,daniel54@example.com,HR,Developer,6860.82,Poland
Kenneth Miller,sandovalsteven@example.org,Sales,Analyst,5294.66,Canada
Kelly Carpenter,michelle60@example.org,IT,Coordinator,1574.21,Germany
Catherine Smith,wrich@example.net,Marketing,Specialist,5539.62,USA
Debbie Williams,jameswoods@example.com,Marketing,Manager,8888.42,Germany
Justin Webb,vholder@example.org,Finance,Manager,9759.12,USA
Robert Medina,gregoryphillips@example.org,Sales,Manager,4842.49,Canada
Kelly Sanchez,richardcruz@example.org,IT,Developer,3868.61,Ukraine
Kirk Ingram,rachelrodriguez@example.org,Sales,Manager,2275.3,Poland
Anthony Johnson,mary89@example.com,IT,Manager,4761.28,Poland
Roberto Collins,daniel02@example.org,Finance,Manager,6284.29,Germany
Hunter Butler,egriffin@example.net,Finance,Developer,7360.46,Germany
Robert Morris,martinmichele@example.net,IT,Specialist,5162.98,Poland
Christina White,tjohnson@example.net,Marketing,Coordinator,7372.34,Canada
Nicole Wilson,ghall@example.com,Sales,Specialist,1437.5,Poland
Mark Sellers,cholloway@example.org,HR,Analyst,3197.22,USA
Dana Rosales,jennifergordon@example.net,HR,Coordinator,3281.21,Poland
Timothy Harris,andersontimothy@example.net,Marketing,Specialist,8704.41,Ukraine
Joseph Lam,richard66@example.net,Sales,Specialist,3895.01,Germany
Jason Wilcox,tonya27@example.com,Finance,Specialist,6382.77,Ukraine
